Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
toyota,hilux,2012,white,gas,manual,2.7,276000.0,riyadh,47500
gmc,yukon,2018,blue,gas,automatic,5.3,151000.0,riyadh,150000
ford,expedition,2012,gray,gas,automatic,5.4,255700.0,makkah,34500
lexus,rx,2021,black,gas,automatic,3.5,23000.0,riyadh,225000
gmc,sierra,2017,white,gas,automatic,5.3,185500.0,riyadh,93500
hyundai,tucson,2016,white,gas,automatic,2.0,255000.0,makkah,51500
mercedes,c,2018,blue,gas,automatic,2.0,123000.0,makkah,135500
toyota,hilux,2016,white,gas,manual,2.7,203000.0,riyadh,51000
mercedes,e,2017,black,gas,automatic,3.0,138500.0,riyadh,175000
gmc,sierra,2017,gray,gas,automatic,5.3,130000.0,riyadh,90000
mercedes,c,2017,white,gas,automatic,2.0,145645.632,riyadh,127000
gmc,yukon,2015,white,gas,automatic,5.3,310000.0,riyadh,72000
nissan,patrol,2016,white,gas,automatic,5.6,116200.0,riyadh,107000
ford,f-150,2012,white,gas,automatic,6.2,158000.0,riyadh,122000
toyota,avalon,2015,white,gas,automatic,3.5,323500.0,riyadh,52000
toyota,corolla,2018,gray,gas,automatic,1.6,158000.0,makkah,45000
hyundai,elantra,2014,white,gas,automatic,1.6,140000.0,riyadh,34000
toyota,camry,2017,white,gas,automatic,2.5,84000.0,eastern,72000
mercedes,s,2020,green,gas,automatic,3.0,57000.0,makkah,459000
nissan,sentra,2017,white,gas,automatic,1.6,231000.0,makkah,32000
toyota,camry,2015,black,gas,automatic,2.5,344000.0,makkah,40000
chevrolet,impala,2015,red,gas,automatic,3.6,167000.0,makkah,53000
toyota,corolla,2018,yellow,gas,automatic,1.6,247000.0,makkah,43000
hyundai,santa fe,2019,white,gas,automatic,2.4,86000.0,makkah,80000
mercedes,e,2021,black,gas,automatic,3.0,7536.0,riyadh,347000
hyundai,kona,2021,blue,gas,automatic,2.0,8500.0,makkah,73000
toyota,prado,2016,white,gas,automatic,4.0,193000.0,riyadh,120000
toyota,avalon,2014,black,gas,automatic,3.5,259000.0,riyadh,55000
kia,cerato,2016,gray,gas,automatic,1.6,104000.0,makkah,36000
hyundai,tucson,2015,white,gas,automatic,2.0,190000.0,riyadh,46000
chevrolet,tahoe,2015,brown,gas,automatic,5.3,63000.0,makkah,105000
ford,edge,2016,yellow,gas,automatic,3.5,112000.0,makkah,64000
gmc,yukon,2015,red,gas,automatic,5.3,284000.0,makkah,70000
ford,edge,2014,black,gas,automatic,3.5,204000.0,makkah,50000
ford,expedition,2014,gray,gas,automatic,5.3,110000.0,makkah,52500
nissan,sentra,2015,gray,gas,automatic,1.6,353000.0,makkah,27000
toyota,corolla,2017,white,gas,automatic,1.6,153000.0,riyadh,49000
ford,f-150,2014,red,gas,automatic,5.4,88000.0,riyadh,92000
ford,expedition,2014,black,gas,automatic,5.2,172037.0,riyadh,31000
mercedes,c,2022,white,gas,automatic,1.5,4600.0,riyadh,263000
mercedes,s,2018,black,diesel,automatic,3.5,28000.0,makkah,250000
toyota,fortuner,2020,white,gas,automatic,2.7,68000.0,riyadh,99000
toyota,land cruiser,2016,black,gas,automatic,4.6,162000.0,makkah,145000
toyota,prado,2013,white,gas,automatic,2.4,341000.0,makkah,69000
mercedes,e,2014,white,gas,automatic,2.0,170000.0,riyadh,82000
kia,optima,2017,gray,gas,automatic,2.0,201000.0,makkah,45000
hyundai,tucson,2013,white,gas,automatic,2.0,207000.0,makkah,33000
mercedes,s,2014,white,gas,automatic,3.0,93000.0,riyadh,178000
chevrolet,captiva,2021,black,gas,automatic,1.5,68000.0,makkah,65000
toyota,corolla,2015,gray,gas,automatic,1.6,182000.0,riyadh,41500
toyota,land cruiser,2013,white,gas,automatic,4.6,318000.0,riyadh,90000
toyota,fortuner,2015,white,gas,automatic,2.7,240000.0,makkah,58000
hyundai,elantra,2016,white,gas,automatic,2.0,287000.0,riyadh,32000
toyota,avalon,2020,gray,gas,automatic,3.5,29700.0,riyadh,158200
mercedes,c,2017,white,gas,automatic,3.0,96000.0,riyadh,150000
hyundai,tucson,2019,gray,gas,automatic,2.0,110000.0,makkah,75000
mercedes,s,2015,white,gas,automatic,4.7,188000.0,riyadh,180000
hyundai,accent,2021,gray,gas,automatic,1.4,52000.0,riyadh,54000
mercedes,ml,2013,black,gas,automatic,3.5,154000.0,riyadh,72000
toyota,rav4,2013,white,gas,automatic,2.5,223000.0,riyadh,39500
hyundai,accent,2017,white,gas,automatic,1.4,253000.0,makkah,30000
ford,f-150,2014,white,gas,automatic,6.2,242000.0,makkah,85000
kia,sorento,2016,white,gas,automatic,3.5,84000.0,eastern,56000
gmc,acadia,2012,gray,gas,automatic,3.6,134000.0,riyadh,35000
hyundai,azera,2015,white,gas,automatic,3.0,308000.0,riyadh,33000
toyota,fortuner,2011,brown,gas,automatic,2.7,325000.0,makkah,33000
nissan,pathfinder,2014,white,gas,automatic,3.5,133000.0,riyadh,55000
hyundai,sonata,2019,gray,gas,automatic,2.4,118000.0,riyadh,46500
kia,sportage,2012,gray,gas,automatic,2.0,233000.0,makkah,28500
hyundai,tucson,2014,blue,gas,automatic,2.4,226000.0,makkah,40000
nissan,pathfinder,2013,brown,gas,automatic,3.5,290000.0,riyadh,20500
hyundai,accent,2013,white,gas,automatic,1.4,211000.0,makkah,23500
ford,focus,2015,white,gas,automatic,1.6,156000.0,riyadh,16500
kia,picanto,2015,gray,gas,manual,1.2,93000.0,makkah,18000
mercedes,s,2014,black,gas,automatic,3.0,201000.0,makkah,181000
ford,expedition,2012,gray,gas,automatic,5.4,351000.0,makkah,43000
ford,expedition,2014,black,gas,automatic,5.4,272000.0,makkah,62000
lexus,rx,2017,white,gas,automatic,3.5,212000.0,makkah,173500
lexus,lx,2018,blue,gas,automatic,5.7,160000.0,riyadh,320000
toyota,fj,2015,white,gas,automatic,4.0,336000.0,riyadh,74000
lexus,rx,2022,blue,gas,automatic,3.5,5000.0,riyadh,254000
chevrolet,tahoe,2015,brown,gas,automatic,5.3,236000.0,riyadh,87000
toyota,rav4,2019,white,gas,automatic,2.0,129000.0,riyadh,66500
toyota,fortuner,2016,white,gas,automatic,2.7,186000.0,riyadh,65000
kia,cerato,2014,gray,gas,automatic,2.0,188000.0,riyadh,23500
kia,optima,2016,gray,gas,automatic,2.4,216000.0,makkah,30500
hyundai,accent,2015,gray,gas,automatic,1.4,190000.0,makkah,23000
hyundai,elantra,2013,white,gas,automatic,1.6,277000.0,makkah,24000
toyota,yaris,2014,gray,gas,automatic,1.3,315000.0,makkah,22000
gmc,acadia,2013,white,gas,automatic,3.6,294000.0,makkah,23000
hyundai,sonata,2018,gray,gas,automatic,2.4,116000.0,riyadh,44000
gmc,acadia,2011,black,gas,automatic,3.6,281000.0,riyadh,14500
kia,picanto,2019,gray,gas,automatic,1.2,42000.0,eastern,33000
toyota,camry,2020,gray,gas,automatic,2.5,69603.0,riyadh,90900
chevrolet,suburban,2019,white,gas,automatic,5.3,45000.0,riyadh,195000
lexus,gs,2018,white,gas,automatic,3.5,52000.0,riyadh,170000
kia,cadenza,2019,blue,gas,automatic,3.5,92000.0,riyadh,72000
hyundai,azera,2022,white,gas,automatic,3.5,3000.0,riyadh,115000
toyota,land cruiser,2014,white,gas,automatic,5.8,358000.0,riyadh,128000
hyundai,azera,2020,white,gas,automatic,3.0,111000.0,riyadh,72000
hyundai,tucson,2018,gray,gas,automatic,2.4,100000.0,riyadh,70000
gmc,yukon,2016,yellow,gas,automatic,5.3,231000.0,riyadh,105000
hyundai,azera,2020,gray,gas,automatic,3.0,104000.0,riyadh,75000
hyundai,sonata,2016,white,gas,automatic,2.4,235000.0,riyadh,48000
gmc,yukon,2008,yellow,gas,automatic,5.3,495000.0,riyadh,30000
gmc,yukon,2007,white,gas,automatic,5.3,409000.0,riyadh,30000
nissan,patrol,2010,white,gas,automatic,5.6,353000.0,riyadh,70000
hyundai,azera,2019,gray,gas,automatic,3.5,72000.0,riyadh,80000
toyota,camry,2019,gray,gas,automatic,2.5,136000.0,riyadh,78000
hyundai,tucson,2018,blue,gas,automatic,2.4,75000.0,riyadh,75000
nissan,patrol,2015,white,gas,automatic,5.8,261000.0,riyadh,110000
nissan,patrol,2016,black,gas,automatic,5.6,425000.0,riyadh,102000
toyota,camry,2020,white,gas,manual,2.5,107000.0,riyadh,75000
toyota,camry,2021,gray,hybrid,cvt,2.5,48000.0,riyadh,99000
nissan,patrol,2016,white,gas,automatic,5.8,312000.0,riyadh,95000
toyota,camry,2020,white,gas,automatic,2.5,110000.0,riyadh,88000
chevrolet,suburban,2011,white,gas,automatic,5.3,312000.0,riyadh,37000
hyundai,accent,2020,gray,gas,automatic,1.4,101580.0,riyadh,45100
hyundai,sonata,2019,black,gas,automatic,2.4,75000.0,riyadh,69000
toyota,land cruiser,2015,white,gas,automatic,5.8,4022000.0,riyadh,125000
lexus,ls,2010,gray,gas,automatic,4.0,334000.0,riyadh,77000
hyundai,sonata,2018,gray,gas,automatic,2.4,1220300.0,riyadh,70000
ford,taurus,2019,gray,gas,automatic,3.5,135000.0,riyadh,65000
lexus,is,2017,gray,gas,automatic,3.5,242000.0,riyadh,82000
toyota,camry,2019,gray,gas,automatic,2.5,171000.0,riyadh,85000
hyundai,azera,2021,gray,gas,automatic,3.5,30000.0,riyadh,115000
toyota,land cruiser,2010,gray,gas,automatic,5.8,320000.0,riyadh,75000
kia,cadenza,2018,blue,gas,automatic,3.5,123000.0,riyadh,62000
hyundai,azera,2018,black,gas,automatic,3.5,113000.0,riyadh,68000
gmc,yukon,2017,yellow,gas,automatic,5.3,130000.0,riyadh,120000
hyundai,elantra,2017,black,gas,automatic,2.0,144000.0,riyadh,55000
chevrolet,suburban,2017,gray,gas,automatic,5.3,343000.0,riyadh,98000
toyota,camry,2019,brown,gas,automatic,3.5,91000.0,riyadh,90000
hyundai,azera,2018,brown,gas,automatic,3.5,133000.0,riyadh,68000
nissan,patrol,2015,white,gas,automatic,5.6,341000.0,riyadh,95000
lexus,gs,2014,white,gas,automatic,3.5,338000.0,riyadh,90000
lexus,gs,2014,gray,gas,automatic,3.5,243000.0,riyadh,90000
gmc,yukon,2017,yellow,gas,automatic,5.3,281000.0,riyadh,110000
toyota,fortuner,2014,black,gas,automatic,4.0,320000.0,riyadh,58000
lexus,lx,2019,yellow,gas,automatic,5.8,70000.0,riyadh,360000
kia,cadenza,2020,brown,gas,automatic,3.5,84000.0,riyadh,85000
ford,taurus,2016,black,gas,automatic,3.5,216000.0,riyadh,50000
chevrolet,suburban,2012,black,gas,automatic,5.3,177000.0,riyadh,35000
kia,cadenza,2017,brown,gas,automatic,3.5,380000.0,riyadh,58000
ford,taurus,2019,black,gas,automatic,2.0,104000.0,riyadh,82000
chevrolet,spark,2018,white,gas,automatic,1.4,181413.0,riyadh,27000
toyota,land cruiser,2016,white,gas,automatic,4.0,364000.0,riyadh,170000
mercedes,s,2017,white,gas,automatic,4.7,55400.0,riyadh,290000
toyota,yaris,2022,gray,gas,cvt,1.5,17000.0,riyadh,63000
toyota,fortuner,2020,white,gas,automatic,2.7,45000.0,riyadh,92000
chevrolet,spark,2019,white,gas,automatic,1.4,95262.0,riyadh,28400
toyota,land cruiser,2016,white,gas,automatic,4.6,305000.0,riyadh,149000
toyota,fj,2015,white,gas,automatic,4.0,289000.0,riyadh,89000
ford,taurus,2019,black,gas,automatic,2.5,121000.0,riyadh,75000
hyundai,sonata,2018,gray,gas,automatic,2.4,165000.0,riyadh,55000
chevrolet,malibu,2018,white,gas,automatic,2.4,188000.0,riyadh,55000
ford,expedition,2010,gray,gas,automatic,5.4,173000.0,riyadh,32000
hyundai,azera,2019,gray,gas,automatic,3.0,60000.0,riyadh,75000
mercedes,s,2006,white,gas,automatic,3.7,352000.0,riyadh,56000
kia,cadenza,2020,white,gas,automatic,3.5,90000.0,riyadh,77000
toyota,avalon,2015,white,gas,automatic,3.5,282000.0,riyadh,69500
nissan,sunny,2020,white,gas,automatic,1.5,70000.0,riyadh,45000
chevrolet,spark,2019,black,gas,automatic,1.4,94569.0,riyadh,28400
toyota,camry,2017,gray,gas,automatic,2.5,349000.0,riyadh,63000
ford,explorer,2013,black,gas,automatic,3.5,266000.0,riyadh,48000
lexus,lx,2014,white,gas,automatic,5.7,108000.0,eastern,230000
mercedes,e,2021,gray,gas,automatic,1.5,25862.0,riyadh,224000
kia,optima,2020,gray,gas,automatic,2.0,65997.0,riyadh,72500
toyota,yaris,2018,white,gas,cvt,1.5,180000.0,eastern,45000
toyota,corolla,2020,white,gas,automatic,1.6,135000.0,makkah,61000
mercedes,s,2019,white,gas,automatic,3.0,33000.0,riyadh,380000
ford,mustang,2018,blue,gas,automatic,2.3,81000.0,eastern,132000
ford,expedition,2016,black,gas,automatic,3.5,300000.0,eastern,66000
chevrolet,spark,2020,gray,gas,automatic,1.4,88318.0,riyadh,29100
kia,sportage,2023,white,gas,automatic,2.0,3000.0,makkah,103000
toyota,yaris,2019,white,gas,automatic,1.5,162000.0,makkah,51000
gmc,yukon,2015,white,gas,automatic,5.3,114000.0,makkah,130000
nissan,sunny,2018,white,gas,automatic,1.5,81000.0,riyadh,41500
toyota,land cruiser,2020,white,gas,automatic,4.6,121000.0,riyadh,243000
kia,optima,2017,white,gas,automatic,2.4,203000.0,riyadh,48000
chevrolet,tahoe,2010,gray,gas,automatic,5.7,270000.0,riyadh,39000
kia,cadenza,2020,gray,gas,automatic,3.5,74000.0,riyadh,69000
toyota,avalon,2020,black,gas,automatic,3.5,121000.0,riyadh,129000
chevrolet,spark,2020,white,gas,automatic,1.4,93743.0,riyadh,29300
chevrolet,spark,2019,black,gas,automatic,1.4,114134.0,riyadh,29400
chevrolet,tahoe,2019,black,gas,automatic,5.0,95000.0,riyadh,145000
lexus,es,2015,white,gas,automatic,3.5,175000.0,riyadh,100000
chevrolet,cruze,2016,gray,gas,automatic,1.6,41000.0,riyadh,45000
hyundai,azera,2023,gray,gas,automatic,3.5,6700.0,riyadh,135000
gmc,sierra,2022,blue,gas,automatic,5.0,9910.0,riyadh,159000
chevrolet,spark,2020,gray,gas,automatic,1.4,114054.0,riyadh,29400
kia,optima,2020,blue,gas,automatic,2.4,84000.0,riyadh,75000
hyundai,azera,2022,gray,gas,automatic,3.5,55000.0,riyadh,116000
chevrolet,captiva,2022,black,gas,cvt,1.5,38000.0,riyadh,68000
toyota,rush,2022,white,gas,automatic,1.5,42000.0,riyadh,65000
hyundai,tucson,2022,black,gas,automatic,2.0,14000.0,riyadh,95000
hyundai,azera,2022,gray,gas,automatic,3.5,12000.0,riyadh,118000
chevrolet,spark,2020,gray,gas,automatic,1.4,102367.0,riyadh,29500
kia,optima,2020,white,gas,automatic,2.4,51000.0,riyadh,65000
nissan,maxima,2017,white,gas,automatic,3.5,245000.0,riyadh,70000
hyundai,tucson,2021,white,gas,automatic,2.0,102000.0,riyadh,77000
hyundai,azera,2022,gray,gas,automatic,3.5,5000.0,riyadh,145000
lexus,lx,2013,white,gas,automatic,5.7,356000.0,riyadh,155000
hyundai,santa fe,2018,white,gas,automatic,3.3,252000.0,riyadh,65000
toyota,hilux,2015,white,gas,manual,2.7,92612.0,riyadh,58000
nissan,kicks,2022,gray,gas,automatic,1.6,5000.0,riyadh,75000
chevrolet,spark,2019,white,gas,automatic,1.4,187135.0,riyadh,29600
chevrolet,spark,2020,white,gas,automatic,1.4,98974.0,riyadh,29700
ford,taurus,2020,brown,gas,automatic,2.5,91000.0,riyadh,90000
hyundai,accent,2020,gray,gas,automatic,1.4,74000.0,riyadh,47000
kia,cerato,2022,white,gas,automatic,1.6,25000.0,riyadh,60000
toyota,camry,2020,gray,gas,automatic,2.4,102000.0,riyadh,79000
kia,sportage,2018,yellow,gas,automatic,1.6,51000.0,riyadh,85000
toyota,corolla,2020,red,gas,cvt,1.6,74000.0,riyadh,64000
nissan,altima,2020,black,gas,cvt,2.5,86000.0,riyadh,80000
chevrolet,spark,2020,white,gas,automatic,1.4,98726.0,riyadh,29800
chevrolet,spark,2020,white,gas,automatic,1.4,105625.0,riyadh,29800
toyota,fortuner,2019,white,gas,automatic,3.5,132000.0,riyadh,116000
hyundai,azera,2018,brown,gas,automatic,3.5,110000.0,riyadh,80000
hyundai,kona,2020,white,gas,automatic,1.5,25000.0,riyadh,65000
kia,seltos,2021,yellow,gas,automatic,1.6,35000.0,riyadh,70000
hyundai,azera,2020,blue,gas,automatic,3.5,68000.0,riyadh,88000
lexus,lx,2010,black,gas,automatic,5.7,498000.0,riyadh,99000
lexus,lx,2013,white,gas,automatic,5.7,302000.0,riyadh,150000
chevrolet,spark,2020,white,gas,cvt,1.4,125186.0,riyadh,29800
chevrolet,spark,2020,gray,gas,automatic,1.4,73104.0,riyadh,29800
hyundai,azera,2018,white,gas,automatic,3.5,240000.0,riyadh,82000
hyundai,sonata,2021,gray,gas,automatic,2.5,20000.0,riyadh,89000
chevrolet,tahoe,2019,white,gas,automatic,5.2,85000.0,riyadh,147000
toyota,land cruiser,2014,white,gas,manual,4.2,250000.0,riyadh,65000
toyota,avalon,2020,white,gas,automatic,1.0,77000.0,riyadh,122000
toyota,camry,2020,black,hybrid,automatic,2.5,72000.0,riyadh,82000
nissan,kicks,2022,gray,gas,cvt,1.6,6518.0,riyadh,68000
toyota,land cruiser,2013,white,gas,automatic,5.7,367000.0,riyadh,109000
chevrolet,spark,2020,white,gas,automatic,1.4,130815.0,riyadh,29800
chevrolet,spark,2020,white,gas,automatic,1.4,107156.0,riyadh,29900
nissan,x-trail,2020,blue,gas,automatic,2.5,64000.0,riyadh,78000
toyota,camry,2018,gray,gas,automatic,2.5,264000.0,riyadh,75000
toyota,land cruiser,2014,white,gas,automatic,4.6,228000.0,eastern,138000
mercedes,gla,2021,gray,gas,automatic,1.5,6999.0,riyadh,233000
toyota,corolla,2020,white,gas,automatic,1.6,135000.0,makkah,53000
toyota,prado,2020,white,gas,automatic,2.7,57000.0,riyadh,140000
hyundai,elantra,2020,white,gas,automatic,1.6,85000.0,eastern,65000
lexus,is,2018,white,gas,automatic,2.5,158000.0,eastern,122000
toyota,rav4,2020,white,hybrid,automatic,2.5,53000.0,makkah,120000
hyundai,elantra,2019,gray,gas,automatic,1.6,51000.0,makkah,59000
chevrolet,captiva,2022,black,gas,cvt,1.5,32000.0,riyadh,75000
hyundai,sonata,2019,gray,gas,automatic,2.4,132000.0,riyadh,75000
chevrolet,spark,2020,gray,gas,automatic,1.4,105191.0,riyadh,29900
toyota,land cruiser,2018,white,gas,automatic,4.6,163500.0,eastern,195000
mercedes,cla,2021,gray,gas,automatic,1.5,10000.0,riyadh,233000
toyota,hilux,2018,white,gas,manual,2.7,64000.0,eastern,77000
toyota,corolla,2020,white,gas,automatic,1.6,87000.0,makkah,61000
lexus,es,2017,white,gas,automatic,3.5,129000.0,eastern,131000
hyundai,elantra,2019,white,gas,automatic,2.0,86000.0,makkah,68000
chevrolet,traverse,2020,gray,gas,automatic,3.6,19000.0,makkah,113000
hyundai,elantra,2020,white,gas,automatic,2.0,125000.0,makkah,65000
toyota,fortuner,2019,white,gas,automatic,2.7,141000.0,riyadh,92000
chevrolet,spark,2020,gray,gas,automatic,1.4,100410.0,riyadh,29900
chevrolet,spark,2020,gray,gas,automatic,1.4,117642.0,riyadh,29900
toyota,prado,2016,white,gas,automatic,4.0,222549.0,eastern,107000
mercedes,cla,2021,gray,gas,automatic,1.5,8000.0,riyadh,204000
toyota,hilux,2018,white,gas,manual,2.7,160700.0,eastern,73000
ford,taurus,2023,white,gas,automatic,2.0,1000.0,riyadh,122000
toyota,corolla,2020,white,gas,automatic,1.6,74000.0,makkah,59000
ford,taurus,2015,white,gas,automatic,3.5,260000.0,eastern,60000
hyundai,elantra,2022,white,gas,cvt,1.6,296.0,makkah,95000
chevrolet,spark,2020,white,gas,automatic,1.4,102668.0,riyadh,30000
chevrolet,spark,2020,gray,gas,automatic,1.4,125344.0,riyadh,30100
toyota,corolla,2020,white,gas,automatic,1.6,35000.0,makkah,72000
toyota,corolla,2020,white,gas,automatic,1.6,92000.0,makkah,66000
toyota,avalon,2022,white,gas,automatic,3.5,13000.0,makkah,189000
hyundai,sonata,2019,black,gas,automatic,2.5,24000.0,riyadh,74000
chevrolet,tahoe,2020,black,gas,automatic,1.0,59000.0,riyadh,145000
nissan,altima,2020,gray,gas,cvt,2.5,39000.0,riyadh,88000
toyota,fortuner,2015,white,gas,automatic,4.0,209155.0,eastern,85000
mercedes,a,2021,gray,gas,automatic,1.4,8000.0,riyadh,194000
chevrolet,spark,2020,gray,gas,automatic,1.4,93129.0,riyadh,30100
chevrolet,spark,2020,gray,gas,automatic,1.4,101668.0,riyadh,30100
toyota,hiace,2018,white,diesel,manual,2.8,103600.0,eastern,90000
toyota,land cruiser,2020,white,gas,automatic,4.6,98000.0,riyadh,250000
toyota,corolla,2020,gray,gas,automatic,1.6,104000.0,makkah,62000
chevrolet,tahoe,2017,white,gas,automatic,5.3,92000.0,makkah,128000
hyundai,elantra,2019,white,gas,automatic,1.6,93000.0,makkah,61000
chevrolet,spark,2020,gray,gas,automatic,1.4,78791.0,riyadh,30100
chevrolet,spark,2020,gray,gas,automatic,1.4,113323.0,riyadh,30100
hyundai,sonata,2019,gray,gas,automatic,2.4,120000.0,riyadh,75000
toyota,fortuner,2019,white,gas,automatic,2.7,140000.0,riyadh,95000
chevrolet,silverado,2019,red,gas,automatic,5.3,23106.0,eastern,135000
mercedes,a,2022,black,gas,automatic,1.4,28987.0,riyadh,178000
toyota,hiace,2017,white,gas,manual,2.7,174500.0,eastern,74000
toyota,land cruiser,2022,white,gas,cvt,3.5,12000.0,riyadh,325000
toyota,corolla,2023,white,gas,cvt,2.0,4000.0,makkah,89000
toyota,camry,2022,gray,gas,automatic,2.5,3905.0,riyadh,112000
toyota,corolla,2020,gray,gas,automatic,1.6,154000.0,makkah,59000
toyota,land cruiser,2018,white,diesel,automatic,4.5,130000.0,riyadh,218000
lexus,is,2018,white,gas,automatic,3.5,72000.0,riyadh,125000
chevrolet,spark,2020,gray,gas,automatic,1.4,97371.0,riyadh,30100
chevrolet,spark,2020,white,gas,automatic,1.4,99543.0,riyadh,30100
hyundai,accent,2020,black,gas,automatic,1.4,123000.0,makkah,44000
hyundai,elantra,2021,gray,gas,automatic,1.6,87000.0,riyadh,77000
chevrolet,suburban,2022,gray,gas,automatic,5.3,900.0,makkah,255000
